,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
491,H3,2010,2010,2010,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,8703,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 87.02), including station wagons and racing cars.",5,Number of items,60.0,,,,87843.0,,867090,,,2
492,H3,2010,2010,2010,4,0,2,Export,360,Indonesia,IDN,704,Viet Nam,VNM,,,,,,,,8703,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 87.02), including station wagons and racing cars.",5,Number of items,859.0,,,,1454292.0,,13072306,,,2
493,H3,2010,2010,2010,4,0,1,Import,360,Indonesia,IDN,764,Thailand,THA,,,,,,,,8703,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 87.02), including station wagons and racing cars.",5,Number of items,61968.0,,,,83434069.0,,880652105,,,2
494,H3,2010,2010,2010,4,0,2,Export,360,Indonesia,IDN,764,Thailand,THA,,,,,,,,8703,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 87.02), including station wagons and racing cars.",5,Number of items,13624.0,,,,21333806.0,,181003586,,,2
495,H1,2006,2006,2006,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,2646538.0,,,,2646538.0,,1482718,,,0
496,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,660478989.0,,,,660478989.0,,240643247,,,0
497,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,63873797.0,,,,63873797.0,,28972528,,,0
498,H1,2006,2006,2006,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,66471.0,,,,66471.0,,137065,,,0
499,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,631603201.0,,,,631603201.0,,245439530,,,0
500,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,704,Viet Nam,VNM,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,95180149.0,,,,95180149.0,,37566238,,,0
501,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,764,Thailand,THA,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,84449.0,,,,84449.0,,41364,,,0
502,H1,2006,2006,2006,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,112654.0,,,,112654.0,,164169,,,0
503,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,5688773.0,,,,5688773.0,,11065313,,,0
504,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,4074357.0,,,,4074357.0,,7901539,,,0
505,H1,2006,2006,2006,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,195830.0,,,,195830.0,,2948583,,,0
506,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,136123896.0,,,,136123896.0,,252668342,,,0
507,H1,2006,2006,2006,4,0,1,Import,360,Indonesia,IDN,704,Viet Nam,VNM,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,4523430.0,,,,4523430.0,,5721715,,,0
508,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,704,Viet Nam,VNM,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,28304903.0,,,,28304903.0,,55393956,,,0
509,H1,2006,2006,2006,4,0,1,Import,360,Indonesia,IDN,764,Thailand,THA,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,819566.0,,,,819566.0,,1196232,,,0
510,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,764,Thailand,THA,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,114812.0,,,,114812.0,,143911,,,0
511,H1,2006,2006,2006,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,4402,Wood charcoal (including shell or nut charcoal),8,Weight in kilograms,2003.0,,,,2003.0,,3189,,,0
512,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,4402,Wood charcoal (including shell or nut charcoal),8,Weight in kilograms,16258044.0,,,,16258044.0,,1867977,,,0
513,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,,,,,,,,4402,Wood charcoal (including shell or nut charcoal),8,Weight in kilograms,8000.0,,,,8000.0,,6400,,,0
514,H1,2006,2006,2006,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,4402,Wood charcoal (including shell or nut charcoal),8,Weight in kilograms,8793.0,,,,8793.0,,1663,,,0
515,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,4402,Wood charcoal (including shell or nut charcoal),8,Weight in kilograms,14631269.0,,,,14631269.0,,1435363,,,0
516,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,704,Viet Nam,VNM,,,,,,,,4402,Wood charcoal (including shell or nut charcoal),8,Weight in kilograms,260003.0,,,,260003.0,,111801,,,0
517,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,7108,"Gold, unwrought, semi-manufactured, powder form",8,Weight in kilograms,2247.0,,,,2247.0,,43581039,,,0
518,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,,,,,,,,7108,"Gold, unwrought, semi-manufactured, powder form",8,Weight in kilograms,56.0,,,,56.0,,65867,,,0
519,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,7108,"Gold, unwrought, semi-manufactured, powder form",8,Weight in kilograms,15919.0,,,,15919.0,,310052193,,,0
520,H1,2006,2006,2006,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,8703,Motor vehicles for transport of persons (except buses),5,Number of items,319.0,,,,519591.0,,2626633,,,2
521,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,8703,Motor vehicles for transport of persons (except buses),5,Number of items,7821.0,,,,13615570.0,,72434247,,,2
522,H1,2006,2006,2006,4,0,1,Import,360,Indonesia,IDN,608,Philippines,PHL,,,,,,,,8703,Motor vehicles for transport of persons (except buses),5,Number of items,651.0,,,,1044163.0,,10052942,,,2
523,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,,,,,,,,8703,Motor vehicles for transport of persons (except buses),5,Number of items,5046.0,,,,10877033.0,,55086114,,,2
524,H1,2006,2006,2006,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,8703,Motor vehicles for transport of persons (except buses),5,Number of items,66.0,,,,138063.0,,1392398,,,2
525,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,8703,Motor vehicles for transport of persons (except buses),5,Number of items,222.0,,,,442938.0,,3082891,,,2
526,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,704,Viet Nam,VNM,,,,,,,,8703,Motor vehicles for transport of persons (except buses),5,Number of items,391.0,,,,1849188.0,,5088772,,,2
527,H1,2006,2006,2006,4,0,1,Import,360,Indonesia,IDN,764,Thailand,THA,,,,,,,,8703,Motor vehicles for transport of persons (except buses),5,Number of items,30049.0,,,,34595566.0,,322967760,,,2
528,H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,764,Thailand,THA,,,,,,,,8703,Motor vehicles for transport of persons (except buses),5,Number of items,3077.0,,,,5285747.0,,28328505,,,2
529,H1,2007,2007,2007,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,955803.0,,,,955803.0,,703312,,,0
530,H1,2007,2007,2007,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,382666726.0,,,,382666726.0,,252966651,,,0
531,H1,2007,2007,2007,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,46570923.0,,,,46570923.0,,37709618,,,0
532,H1,2007,2007,2007,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,98445.0,,,,98445.0,,215451,,,0
533,H1,2007,2007,2007,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,624496682.0,,,,624496682.0,,406364433,,,0
534,H1,2007,2007,2007,4,0,2,Export,360,Indonesia,IDN,704,Viet Nam,VNM,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",8,Weight in kilograms,171664891.0,,,,171664891.0,,113881261,,,0
535,H1,2007,2007,2007,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,221726.0,,,,221726.0,,305835,,,0
