,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
176,H0,1992,1992,1992,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402,Charcoal,7,Volume in litres,36757384.0,0.0,0.0,0.0,14702953.0,0.0,1702176,0.0,0.0,0
169,H0,1992,1992,1992,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,366000.0,0.0,0.0,0.0,366000.0,0.0,1559648,0.0,0.0,0
173,H0,1992,1992,1992,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,273327680.0,0.0,0.0,0.0,273327680.0,0.0,220744096,0.0,0.0,0
172,H0,1992,1992,1992,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,81687.0,0.0,0.0,0.0,81687.0,0.0,73760,0.0,0.0,0
171,H0,1992,1992,1992,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,20160.0,0.0,0.0,0.0,20160.0,0.0,16832,0.0,0.0,0
170,H0,1992,1992,1992,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,Rubber,8,Weight in kilograms,15059768.0,0.0,0.0,0.0,15059768.0,0.0,12689069,0.0,0.0,0
168,H0,1992,1992,1992,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511,Palm Oil,8,Weight in kilograms,100572312.0,0.0,0.0,0.0,100572312.0,0.0,34731136,0.0,0.0,0
167,H0,1992,1992,1992,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511,Palm Oil,8,Weight in kilograms,25949226.0,0.0,0.0,0.0,25949226.0,0.0,10865950,0.0,0.0,0
166,H0,1992,1992,1992,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511,Palm Oil,8,Weight in kilograms,81783376.0,0.0,0.0,0.0,81783376.0,0.0,28862840,0.0,0.0,0
174,H0,1992,1992,1992,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402,Charcoal,7,Volume in litres,5504688.0,0.0,0.0,0.0,2201875.0,0.0,204748,0.0,0.0,0
